teacher_count=80.0, student_teacher_ratio=15, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.08, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=60.0, student_teacher_ratio=20, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.08, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=48.0, student_teacher_ratio=25, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.080000000000002, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=40.0, student_teacher_ratio=30, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.08, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=34.285714285714285, student_teacher_ratio=35, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.08, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=30.0, student_teacher_ratio=40, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.08, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=26.666666666666668, student_teacher_ratio=45, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.08, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=24.0, student_teacher_ratio=50, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.080000000000002, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=21.818181818181817, student_teacher_ratio=55, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.83999999999997, s3_requests_year_cost=13.079999999999997, s3_year_cost=244.91999999999996, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=20.0, student_teacher_ratio=60, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.08, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=18.46153846153846, student_teacher_ratio=65, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.83999999999997, s3_requests_year_cost=13.079999999999997, s3_year_cost=244.91999999999996, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=17.142857142857142, student_teacher_ratio=70, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.08, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=16.0, student_teacher_ratio=75, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.08, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=15.0, student_teacher_ratio=80, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.08, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=14.117647058823529, student_teacher_ratio=85, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.079999999999998, s3_year_cost=244.92000000000002, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=13.333333333333334, student_teacher_ratio=90, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.08, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=12.631578947368421, student_teacher_ratio=95, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.080000000000002, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
teacher_count=12.0, student_teacher_ratio=100, assignments_per_stu_per_year=100, avg_doc_size=7, s3_storage_year_cost=231.84000000000003, s3_requests_year_cost=13.080000000000002, s3_year_cost=244.92000000000004, heroku_year_cost=6000, total_yearly_cost=6244.92, total_yearly_gain=6240.0, 
